id,url,image,gender,age,semesters_studying_latvian,mother_tongues,other_languages,original_text,corrected_text
1,http://lava.korpuss.lv/corpus/1,http://lava.korpuss.lv/uploads/29d609e4237b213c0389cf6c22f1d19106682b4c.jpeg,MALE,20,2,fa,en|sv,"Labdien!
Mans vārds ir Navid Aurtan, Es esmu medicīnas students no Zviedrijas, man  ir divdesmit gadi. Es studēju mans pirmo gadu Rigas Stradina universitātē. Mans dzīvesveids nav vislabākais, bet āri ne pārāk slikti. Es dzīvoju kā students. Es regulāri neēdu vienmēr, dažreiz es esmu staigā, tad es pārtraucu brokastis vai tikai dzert kafiju tukša dūšā. Eksāmenu periodos es dažreiz palieku līds pat vēlai, tad es nesaņemšu astoņas stundas gulēt. Daži laikposmi es esmu daudz veselīgāks, es regulāri ēdu. Es ēst visu ēdienu brokastis, pusdienas un vakariņas uz laiku kad to vajadzētu ēst. Kad man nav daudz mācīties es cenšos izdarīt fiziska aktivitātē regulāri. Es parasti ēst vismaz vienu augļu dienā, parasti tas ir āboli, bet es cenšos mainīt. Man garšo visi augli bet mans mīlākais ir banāns.","Labdien!
Mans vārds ir Navids Aurtans, es esmu medicīnas students no Zviedrijas, man ir divdesmit gadi. Es studēju manu pirmo gadu Rīgas Stradiņa universitātē. Mans dzīvesveids nav vislabākais, bet arī ne pārāk slikts. Es dzīvoju kā students. Es regulāri neēdu vienmēr, dažreiz es esmu steigā, tad es pārtraucu brokastis vai tikai dzeru kafiju tukšā dūšā. Eksāmenu periodos es dažreiz palieku līdz pat vēlam, tad es nesaņemu astoņas stundas miega. Dažos laikposmos es esmu daudz veselīgāks, es regulāri ēdu. Es ēdu visus ēdienus – brokastis, pusdienas un vakariņas – * laikos, kad tos vajadzētu ēst. Kad man nav daudz jāmācās, es cenšos nodarboties ar fiziskām aktivitātēm regulāri. Es parasti ēdu vismaz vienu augli dienā, parasti tie ir āboli, bet es cenšos tos mainīt. Man garšo visi augļi, bet mans mīļākais ir banāns."
2,http://lava.korpuss.lv/corpus/2,http://lava.korpuss.lv/uploads/816568eeb1f6d49d42c3c870868495b356594af4.jpeg,MALE,26,2,fi,en|sv,"Sveiki!
Es esmu Oskari Vihervaara. Man ir 26 gadi un es studeju medicinu Rīgā stradinā universitatē. Es esmu normalu svaru un normālu garumu virietis. Man patīk sports un man ir diezgan labi ēšanas paradumi. Man ir reti slimibas un man ir veselīgs dzīvesveids.
Es studeju diezgan daudz un dažreiz man ir mazliet stresu. Es domaju izvairitos no neveselīgā partiku. Es arī domaju gulēt 8 stundas katra nakti.
Mans lielakais problems ir ka es nav ēdu pietiekami. Parasti es dzeru tikai kafiju brokastīs un dažreiz es lietoju alkoholu pārmērigā. Tās ir ne labi. Paldies.","Sveiki!
Es esmu Oskars Vihervaara. Man ir 26 gadi, un es studēju medicīnu Rīgas Stradiņa universitātē. Es esmu normāla svara un normāla garuma vīrietis. Man patīk sports, un man ir diezgan labi ēšanas paradumi. Man ir reti slimības, un man ir veselīgs dzīvesveids.
Es studēju diezgan daudz, un dažreiz man ir mazliet stress. Es domāju izvairīties no neveselīgas pārtikas. Es arī domāju gulēt 8 stundas katru nakti.
Mana lielākā problēma ir, ka es neēdu pietiekami. Parasti es dzeru tikai kafiju brokastīs, un dažreiz es lietoju alkoholu pārmērīgi. Tas nav labi. Paldies!"
3,http://lava.korpuss.lv/corpus/3,http://lava.korpuss.lv/uploads/8422d36bc338fbd70fc1a4cdeb8f4fbfd3591ab5.jpeg,MALE,21,2,fi,en,"Neveselīgs dzīvesveids
Mans dzīvesveids nav loti veselīgs. Es ēdu vienu ēdienu dienā. Bet reti neveselīgu pārtiku. Es gatavoju pietikami trīs dienas. Es nesmēkēju un nedzeru pārāk daudz alkohola. Man tērē pārāk daudz laika mana datorā, studēšana, filmu skatīšanās, spēlu spēlēšana. Es sāku zīmēt vismaz. Es parasti ēd dažus makaronus vai rīsus ar mērci, jo tas ir loti viegli. Man patīk gātavot ēdienus. Diemžēl salāti parasti nav. Es daudz gulēju. Es gulēju vismaz astonas stundas.","Neveselīgs dzīvesveids
Mans dzīvesveids nav ļoti veselīgs. Es ēdu vienu ēdienu dienā. Bet reti neveselīgu pārtiku. Es gatavoju pietiekami trīs dienas. Es nesmēķēju un nedzeru pārāk daudz alkohola. Es tērēju pārāk daudz laika pie mana datora: studēšanai, filmu skatīšanai, spēļu spēlēšanai. Es sāku zīmēt vismaz. Es parasti ēdu dažus makaronus vai rīsus ar mērci, jo tas ir ļoti viegli. Man patīk gatavot ēdienus. Diemžēl salāti parasti nav. Es daudz gulēju. Es gulēju vismaz astoņas stundas."
7,http://lava.korpuss.lv/corpus/7,http://lava.korpuss.lv/uploads/9e651873ce113478b02f014daf1e6849c41286a6.jpeg,FEMALE,21,2,fa,en|sv,"Mans dzīvesveids
Es parasti çelos 10:00 kad man nav universitatē. Es ēdu brokastis pec es çelos bet dažreiz es neēdu brokastis, jo man nav apetītes no rīta. Es parasti ēdu olas, maizi un dzer tēju. No rīta man vajadzētu vaīrāk augļu.
Manas pusdienas ir bieži makaroni, rīsī vai kartupeļi ar gaļu. Es neēdu daudz dārzeņu un tas nav labi. Man patik daudz čipsi, šokolāde un saldejums bet es parasti neēdu tas tāpec tas nav veseligi
Es bieži ēdu restorānos tapēc man ne vienmer ir laiks gatavot ēdienu. Mana vakariņas ir bieži sviestmaizi un sulu.
Man patīk spēlēt futbolu bet kopš es atbraucu uz Rīgā man nav speleju futbolu. Es eju uz sporta zāli, ""peoples fitness"". Es parasti eju uz sporta zāli 2 vai 3 reizes nedēļa.","Mans dzīvesveids
Es parasti ceļos 10.00, kad man nav universitātes. Es ēdu brokastis pēc es ceļos, bet dažreiz es neēdu brokastis, jo man nav apetītes no rīta. Es parasti ēdu olas, maizi un dzeru tēju. No rīta man vajadzētu vairāk augļu.
Manas pusdienas ir bieži makaroni, rīsi vai kartupeļi ar gaļu. Es neēdu daudz dārzeņu, un tas nav labi. Man patīk daudz čipsi, šokolāde un saldējums, bet es parasti neēdu tos, tāpēc ka tas nav veselīgi.
Es bieži ēdu restorānos, tāpēc man ne vienmēr ir laiks gatavot ēdienu. Manas vakariņas ir bieži sviestmaize un sula.
Man patīk spēlēt futbolu, bet, kopš es atbraucu uz Rīgu, es nespēlēju futbolu. Es eju uz sporta zāli ""Peoples fitness"". Es parasti eju uz sporta zāli 2 vai 3 reizes nedēļā."
8,http://lava.korpuss.lv/corpus/8,http://lava.korpuss.lv/uploads/99d23f7e6183bf38b914a76daeaf259bcca7ab5b.jpeg,FEMALE,20,2,de,en|fr,"Veselīgs dzīvesveids
Mans vards ir Donata un uzvards ir Hoolz. Es dzivoju Rigā un es esmu medicinas studente Rigas Stradiņa Universitatē. Es esmu no Minhenes, vacijā. 
Veselīgs u pilnvērtīgs uzturs, regulāras ēdienreizes un fiziskas aktivitātes ir nepieciešami veselīgam dzīvesveidam, jo veselīgs dzīvesveids ir svarīgs gan fizisko gan garīgo veselību. Lai gan es esmu studente un es daudz mācos, es cenšos dzīvot veseligs. 
Mani ēšanas paradumi ir veselīgs, es ēdu regulāras ēdienreizes un es cenšos ēst daudz auglu un dārzenu. Dažreiz es neēdu brokastīs un tikai dzeru malna teju ar pienu, bet parasti es ēdu graudus. Pusdienas es ēdu ar draugiem kafejnīcā un vakariņas es gatavoju mājā. Man patik gulēt ilgi, jo es eju gulēt diezgan vēlu. Es zinu, ka iet gulēt agri ir veselīgāks, bet es vienmēr eju gulēt vēlu. Lai gan es daudz mācos, seviški kad mums ir kolokviji, es cenšos veikt fiziskas aktivitātes. Es eju skriet divas reizes nedēļā un vienu reizes nedēļā es veicu treniņu mājās. Bet es domāju, man vajadzetu iet uz fitnesa klubu, jo laiks ir pārāk auksts lai skrietu. 
Man nav daudz kaitīgi paradumi. Es nesmēkēju un tikai dažreiz es dzeru alkoholu, bet man loti garšo saldumi, seviški nutella. 
Ko man vajadzētu mainit? Man vajadzētu iet gulēt agrāk un neēst saldumus, bet es domāju, ka mans dzīvesveids ir diezgan veselīgs.","Veselīgs dzīvesveids
Mans vārds ir Donata un uzvārds ir Holca. Es dzīvoju Rīgā, un es esmu medicīnas studente Rīgas Stradiņa universitātē. Es esmu no Minhenes Vācijā. 
Veselīgs un pilnvērtīgs uzturs, regulāras ēdienreizes un fiziskas aktivitātes ir nepieciešamas veselīgam dzīvesveidam, jo veselīgs dzīvesveids ir svarīgs gan fiziskajai, gan garīgajai veselībai. Lai gan es esmu studente un es daudz mācos, es cenšos dzīvot veselīgi. 
Mani ēšanas paradumi ir veselīgi, es ēdu regulāras ēdienreizes un es cenšos ēst daudz augļu un dārzeņu. Dažreiz es neēdu brokastis un tikai dzeru melnu tēju ar pienu, bet parasti es ēdu pārslas. Pusdienas es ēdu ar draugiem kafejnīcā, un vakariņas es gatavoju mājās. Man patīk gulēt ilgi, jo es eju gulēt diezgan vēlu. Es zinu, ka iet gulēt agri ir veselīgāk, bet es vienmēr eju gulēt vēlu. Lai gan es daudz mācos, sevišķi, kad mums ir kolokviji, es cenšos veikt fiziskās aktivitātes. Es eju skriet divas reizes nedēļā un vienu reizi nedēļā es veicu treniņu mājās. Bet es domāju, man vajadzētu iet uz fitnesa klubu, jo laiks ir pārāk auksts, lai skrietu. 
Man nav daudz kaitīgu paradumu. Es nesmēķēju, un tikai dažreiz es dzeru alkoholu, bet man ļoti garšo saldumi, sevišķi nutella. 
Ko man vajadzētu mainīt? Man vajadzētu iet gulēt agrāk un neēst saldumus, bet es domāju, ka mans dzīvesveids ir diezgan veselīgs."
9,http://lava.korpuss.lv/corpus/9,http://lava.korpuss.lv/uploads/d9f075f5b9ae7a5284826d77b3512b71b3e44a92.jpeg,MALE,19,2,de,en|fr,"Labdien!
Man vards ir Felix un man uzvards ir Lorenz. Es esmu no Vacijas un es studeju medicinu Rigas Stradiņa universitatē. 
Veselīgs uzturs ir ļoti svarīgs. Neēdiet neveselīgas ēdienreizes! Nelietojiet melnu kafiju tukšā dūšā un izvairities no trekniem ēdienreizem. Ēdiet daudz augļi un darzeni, neaizmirstiet brokastis! Regulāras ēdienreizes un miegs astoņas stundas ir veselīgi. Izvēlētities pareizs uzturs un dzeriet daudz udenu! Ātrās uzkodas var izvaisīt aptaukošanās. Lietojiet vairāk graudaugu produktus un mazāk eļļu, magarīnu, sviestu, treknu gaļu, cukuru un saldumus. Pārāk liels saldumu patēriņš var izraisīt liekais svars. 
Svarīgs ir lietot veselīgākus un dabiskākus produktus!","Labdien!
Mans vārds ir Fēlikss, un mans uzvārds ir Lorencs. Es esmu no Vācijas, un es studēju medicīnu Rīgas Stradiņa universitātē. 
Veselīgs uzturs ir ļoti svarīgs. Neēdiet neveselīgas ēdienreizes! Nelietojiet melnu kafiju tukšā dūšā un izvairieties no trekniem ēdieniem. Ēdiet daudz augļu un dārzeņu, neaizmirstiet brokastis! Regulāras ēdienreizes un miegs astoņas stundas ir veselīgi. Izvēlieties pareizu uzturu un dzeriet daudz ūdeni! Ātrās uzkodas var izraisīt aptaukošanos. Lietojiet vairāk graudaugu produktus un mazāk eļļu, margarīnu, sviestu, treknu gaļu, cukuru un saldumus. Pārāk liels saldumu patēriņš var izraisīt lieko svaru. 
Svarīgi ir lietot veselīgākus un dabiskākus produktus!"
10,http://lava.korpuss.lv/corpus/10,http://lava.korpuss.lv/uploads/590dc8779b18bb229ed567a7e0af8bdedf2feded.jpeg,MALE,21,2,sv,en|fi,"Veselīgs dzīvesveids
Es esmu otrais semestri medicinas students. Es esmu 21 gadus vecs vīrietis ar normalu svaru un normāls garums. Es esmu ļoti aktīvs sportā. Es speleju futbolu un trenēju gandrīz katru dienu. Veselība man ir loti svarīga. 
Veselība nav tikai aktīva, bet arī ēst veselīgi. Kad esat stesa skolā vai darbā, ir grūti ēst veselīgi, bet vēl svarīgāk. No ātrās ēdināšanas jūs nesaņemat nepieciešamās uzturvielas, un jūs nogurst. 
Lietot mazāk trekni ēdieni, mazāk cukura, ne pārāk daudz sāls un saldumu vietā ēdiet auglus. Smēķēšana un alkoholu lietošana nav veselīga. 
Ātrā ēdināšanas vietā un neveselīgu ēšanu, es gribētu gatavot ēdienu, veselīgs ēdiens. Kad es gatavoju, es lietoju daudz dārzeņu, 
vitamīniem. Sāls vietā es lietoju labas garšaugus. Ja tu zini, kā gatavot, tas parasti garšo labāk nekā ēst restorānā. 
Veselīga dieta ir svariga, bet ari regulāras maltītes. Ēst brokastis, pusdienas, vakarinas un veselīgas vakara uzkodas. Bet dažreiz arī jūs varat ēst dažus garšīgus saldumus.","Veselīgs dzīvesveids
Es esmu otrā semestra medicīnas students. Es esmu 21 gadu vecs vīrietis ar normālu svaru un normālu garumu. Es esmu ļoti aktīvs sportā. Es spēlēju futbolu un trenējos gandrīz katru dienu. Veselība man ir ļoti svarīga. 
Veselība nav tikai aktivitāte, bet arī ēst veselīgi. Kad esat stresā skolā vai darbā, ir grūti ēst veselīgi, bet vēl svarīgāk. No ātrās ēdināšanas jūs nesaņemat nepieciešamās uzturvielas, un jūs nogurstat. 
Lietojiet mazāk treknus ēdienus, mazāk cukura, ne pārāk daudz sāls un saldumu vietā ēdiet augļus. Smēķēšana un alkohola lietošana nav veselīga. 
Ātrās ēdināšanas vietā un neveselīgas ēšanas vietā es gribētu gatavot ēdienu, veselīgu ēdienu. Kad es gatavoju, es lietoju daudz dārzeņu, vitamīnus. Sāls vietā es lietoju labus garšaugus. Ja tu zini, kā gatavot, tas parasti garšo labāk nekā ēst restorānā. 
Veselīga diēta ir svarīga, bet arī regulāras maltītes. Ēst brokastis, pusdienas, vakariņas un veselīgas vakara uzkodas. Bet dažreiz arī jūs varat ēst dažus garšīgus saldumus."
11,http://lava.korpuss.lv/corpus/11,http://lava.korpuss.lv/uploads/3cfd37a4b14bb42985597603e6c70a832802b1c6.jpeg,FEMALE,21,2,it,en|de,"Mans vārds ir Dalila un man ir divdesmit gadi. Es esmu no Itālijas un es runāju vācu, italū, angļu valodā. Es studeju medicīnu Rigas Stradiņa universitatē. Mana nedēļa Rīgā ir katru dienu es celtos ap astoniem norīta. Tad es magājos un ģērbjos. Pec tam es ēdu brokastis ar pienu un cepumielu. No pirmdienas līdz piektdienai man ir universitāte. Es braucu uz universitāti ar tramvaju. Es parasti braucu ar tramvaju astondesmit četrdesmit pieci. Es edu ēdnīcā ar manu grupu vai izbraucu kopā ar draugiem vai spēlēšu sportu. Vakariņās es ēdu kopā ar saviem aizņemejem vai draugiem. Es eju gulēt vienpadsmitos vakāra. Nedēļas nogalē es eju dejot un izēst, jo tas ir labs laiks. Kad ir slikts laiks, es skatos filmu majās vai es izlasīju grāmatu. Man patīk veseligs uzturs un man ir veselīgs dzīvesveids. Man patīk darīt sportu un dejot. Es negribu mainīt daudzas lietas manā dzīvē. Es vēlos tikai vairāk laika man un darīt sportu.","Mans vārds ir Dalila, un man ir divdesmit gadi. Es esmu no Itālijas un es runāju vācu, itāļu, angļu valodā. Es studēju medicīnu Rīgas Stradiņa universitātē. Mana nedēļa Rīgā ir šāda: katru dienu es ceļos ap astoņiem no rīta. Tad es mazgājos un ģērbjos. Pēc tam es ēdu brokastis ar pienu un cepumiem. No pirmdienas līdz piektdienai man ir universitāte. Es braucu uz universitāti ar tramvaju. Es parasti braucu ar tramvaju astoņos četrdesmit piecās. Es ēdu ēdnīcā ar manu grupu vai izbraucu kopā ar draugiem vai  * sportoju. Vakariņas es ēdu kopā ar saviem paziņām vai draugiem. Es eju gulēt vienpadsmitos vakarā. Nedēļas nogalē es eju dejot un ēst, ja * ir labs laiks. Kad ir slikts laiks, es skatos filmu mājās vai es lasu grāmatu. Man patīk veselīgs uzturs, un man ir veselīgs dzīvesveids. Man patīk * sportot un dejot. Es negribu mainīt daudzas lietas manā dzīvē. Es vēlos tikai vairāk laika man un  * sportot."
12,http://lava.korpuss.lv/corpus/12,http://lava.korpuss.lv/uploads/e8f344f7b43601fa453e2d8044589b1c093353af.jpeg,FEMALE,20,2,it,en,"Es esmu Gaia Vignani un man ir divdesmit gadi un es emu no Itālijas. Es studēju medicīnu Rigas Stradiņa universitatē. Es runaju Italiski, Angliski un mazliet latviski. 
Es cenšos būt veselīgs dzīvesveids. Parasti es ceļos pie astoņiem norīta un man ir brokastis pusdeviņos. Parasti es ēdu graudaugus ar pienu un es dzerū kafiju. Pēc brokastim es vienmēr zobu suku. 
Pusdienās es edu ogļhidrālus majā. Pēcpusdienās es pavadīju laiku ar draugiem. Dažreiz mēs pastaigājamies pa parku un pēc mēs dzeram kafiju. Trīs pēcpusdienā mēs sākam studēt. Vokariņās es edu gaļu ar darzeņiem un es eju gulet pie vienpadsmitiem. 
Parasti es braucu uz universitati četras dienas nedēļa un uz sporta zāli pirmdiena, trešdiena un piekdiena septiņos vakaros. 
Man nepatik lietot zāles neskatoties es dažreiz sūdzos par galvassāpem. Man ir normals ķermeņa svars bet es edu uztura dažādibu. Parasti es edu uzkodas bet es needu daudz saldumus. Man ļoti garšo augļi, makaroni un gaļa. Mēs vajadzētu skatīties mazāktu un ēst vairāk mājās gatavots ēdens.","Es esmu Gaja Vignani, un man ir divdesmit gadi, un es esmu no Itālijas. Es studēju medicīnu Rīgas Stradiņa universitātē. Es runāju itāliski, angliski un mazliet latviski. 
Es cenšos ievērot veselīgu dzīvesveidu. Parasti es ceļos ap astoņiem no rīta, un man ir brokastis pusdeviņos. Parasti es ēdu pārslas ar pienu, un es dzeru kafiju. Pēc brokastīm es vienmēr lietoju zobu suku. 
Pusdienās es ēdu ogļhidrātus mājās. Pēcpusdienās es pavadu laiku ar draugiem. Dažreiz mēs pastaigājamies pa parku, un pēc tam mēs dzeram kafiju. Trijos pēcpusdienā mēs sākam studēt. Vakariņās es ēdu gaļu ar dārzeņiem, un es eju gulēt ap vienpadsmitiem. 
Parasti es braucu uz universitāti četras dienas nedēļā un uz sporta zāli pirmdienās, trešdienās un piekdienās septiņos vakarā. 
Man nepatīk lietot zāles, lai arī es dažreiz sūdzos par galvassāpēm. Man ir normāls ķermeņa svars, bet es ēdu dažādu uzturu. Parasti es ēdu uzkodas, bet es neēdu daudz saldumus. Man ļoti garšo augļi, makaroni un gaļa. Man vajadzētu skatīties mazāk TV un ēst vairāk mājās gatavota ēdiena."
13,http://lava.korpuss.lv/corpus/13,http://lava.korpuss.lv/uploads/4fd37e671a7082541c62c84bb8262cd7ab084ec4.jpeg,FEMALE,20,2,it,en,"Mans vārds ir Giulia un uzvārds ir Governatori Es esmu no Italias un es studeju medicinu Rigas Stradiņa universitate, otrais semestris. Man ir divdesmit gadi un es runaju italiski, angliški un mazliet latviski. 
Es celos pie astoņem no rita un man ir brokastis ar pienu un kafiju. Parasti es needu bet dažreiz es edu graudaugus. Es braucu uz universitati ar tramvaju un bieži man ir pusdienas ēdnīcā. Pusdienās es edu makaronus un es dzeru udenus. Pec pusdienas es dzeru kafiju un es studeju. Dažreiz es eju uz sporta zali. Es lietoju daudz zales jo man parasti sāp galva un locitavas. Parasti es dzeru vīnu ar draugiem. Es edu regulāras ēdienreizes bet dažreiz es edu treiknus edīenus. 
Man patk mājās gatavots ēdiens bet man arī patik est restoranā. 
Man ir normāls kermena svars bet dazreiz es ievēroju dietū. 
Es domāju ka man ir veseligs dzīvesveids bet man vajadzētu lietot mazāk zales un est vairak veselīgs.","Mans vārds ir Džūlija, un uzvārds ir Governatori. Es esmu no Itālijas, un es studēju medicīnu Rīgas Stradiņa universitātē, otrajā semestrī. Man ir divdesmit gadi, un es runāju itāliski, angliski un mazliet latviski. 
Es ceļos ap astoņiem no rīta, un man ir brokastis ar pienu un kafiju. Parasti es neēdu, bet dažreiz es ēdu pārslas. Es braucu uz universitāti ar tramvaju, un bieži man ir pusdienas ēdnīcā. Pusdienās es ēdu makaronus, un es dzeru ūdeni. Pēc pusdienām es dzeru kafiju, un es studēju. Dažreiz es eju uz sporta zāli. Es lietoju daudz zāles, jo man parasti sāp galva un locītavas. Parasti es dzeru vīnu ar draugiem. Es ēdu regulāras ēdienreizes, bet dažreiz es ēdu treknus ēdienus. 
Man patīk mājās gatavots ēdiens, bet man arī patīk ēst restorānā. 
Man ir normāls ķermeņa svars, bet dažreiz es ievēroju diētu. 
Es domāju, ka man ir veselīgs dzīvesveids, bet man vajadzētu lietot mazāk zāles un ēst * veselīgāk."
